timestamp,dataset,step,column_affected,issue_found,action_taken,rows_affected,validation_result,analyst_notes
2026-05-01T08:28:02.887273+00:00,nfhs5_kr,impute_numeric_median,"m4, m19, h11, hw1, hw2, hw3","Missing values in numeric features: {'m4': 45250, 'm19': 21890, 'h11': 5371, 'hw1': 7866, 'hw2': 11246, 'hw3': 11834}",SimpleImputer(strategy=median) applied,103457,PASS,Median chosen over mean: birth weight and breastfeeding are right-skewed
2026-05-01T08:28:02.950034+00:00,nfhs5_kr,audit_labels,"stunted, underweight, wasted",N/A — audit step,Computed prevalence and class weights,229048,PASS,"{'prevalence': {'stunted': 0.3547, 'underweight': 0.309, 'wasted': 0.1862}, 'class_weights': {'stunted': 1.7864, 'underweight': 2.4099, 'wasted': 4.3937}}"
2026-05-01T08:32:49.313148+00:00,nfhs5_kr,replace_missing_codes,"hw70, hw71, hw72","DHS codes [9996, 9997, 9998, 9999] present in Z-score columns","Replaced [9996, 9997, 9998, 9999, 99996, 99997, 99998, 99999] with NaN across all numeric columns",19068,PASS,"Per-column counts: {'hw70': 5064, 'hw71': 1160, 'hw72': 12844}"
2026-05-01T08:32:49.336967+00:00,nfhs5_kr,scale_zscores,"HW70, HW71, HW72 → HAZ, WAZ, WHZ",Z-scores stored as integers x100 in DHS encoding,"Divided by 100.0, renamed to HAZ/WAZ/WHZ",232920,PASS,"Z-score range after scaling: [-6.0, 6.0]"
2026-05-01T08:32:49.532810+00:00,nfhs5_kr,create_labels,"stunted, underweight, wasted",No binary target columns in raw data,"Created from Z-scores using WHO thresholds (<-2.0). Dropped 21,274 rows with all Z-scores NaN.",21281,PASS,"Stunted: 34.5%, Underweight: 30.7%, Wasted: 17.7%"
2026-05-01T08:37:37.925999+00:00,nfhs5_kr,replace_missing_codes,"hw70, hw71, hw72","DHS codes [9996, 9997, 9998, 9999] present in Z-score columns","Replaced [9996, 9997, 9998, 9999, 99996, 99997, 99998, 99999] with NaN across all numeric columns",19068,PASS,"Per-column counts: {'hw70': 5064, 'hw71': 1160, 'hw72': 12844}"
2026-05-01T08:37:37.949200+00:00,nfhs5_kr,scale_zscores,"HW70, HW71, HW72 → HAZ, WAZ, WHZ",Z-scores stored as integers x100 in DHS encoding,"Divided by 100.0, renamed to HAZ/WAZ/WHZ",232920,PASS,"Z-score range after scaling: [-6.0, 6.0]"
2026-05-01T08:37:38.035005+00:00,nfhs5_kr,apply_who_thresholds,"stunted, underweight, wasted",No binary target columns in dataset,"HAZ<-2.0→stunted, WAZ<-2.0→underweight, WHZ<-2.0→wasted. NaN Z-scores preserved as NaN labels (not imputed).",232920,PASS,WHO Child Growth Standards 2006. Strict < not <=.
2026-05-01T08:37:38.131248+00:00,nfhs5_kr,remove_duplicates,all,"3,872 exact duplicate rows detected",drop_duplicates() applied,3872,PASS,Exact row deduplication only — no fuzzy matching
2026-05-01T08:37:38.131773+00:00,nfhs5_kr,detect_sc_st_column,N/A,"No SC/ST column found. Searched: ['V131', 'S116', 'SH46', 'V130']",Fairness audit ST subgroup will be skipped,-1,INFO,Request PR (Household Members Recode) file for V131
2026-05-01T08:37:38.133796+00:00,nfhs5_kr,encode_categorical,,DHS integer codes not interpretable by model,Mapped integers to string labels per DHS codebook,229048,PASS,Columns encoded: []
